Title,Year,Type,Runtime,Genre,Rating,Director,No_of_ratings,Gross
Sophie Scholl: The Final Days,2005,Not Rated,120 min,"Biography, Crime, Drama",7.6,Marc Rothemund,24394,$0.68M
Three Monkeys,2008,Not Rated,109 min,Drama,7.4,Nuri Bilge Ceylan,16490,$0.04M
Hateship Loveship,2013,R,104 min,"Drama, Romance",6.2,Liza Johnson,5856,$0.05M
Mother and Child,2009,R,125 min,"Drama, Romance",7.2,Rodrigo García,10682,$1.11M
Magadheera,2009,Not Rated,147 min,"Action, Drama, Fantasy",7.7,S.S. Rajamouli,14910,NaN
Ai no mukidashi,2008,Unrated,237 min,"Action, Comedy, Drama",8.1,Sion Sono,9392,NaN
Dog Pound,2010,Not Rated,91 min,Drama,7,Kim Chapiron,9735,NaN
The Banishment,2007,NaN,157 min,Drama,7.7,Andrey Zvyagintsev,6176,NaN
Surveillance,2008,R,97 min,"Crime, Drama, Mystery",6.4,Jennifer Lynch,15888,$0.03M
Postmortem Of Love 2,2015,Not Rated,137 min,"Comedy, Drama, Romance",7.3,Luv Ranjan,12043,$0.22M
Lovely Molly,2011,R,99 min,"Drama, Horror",5.3,Eduardo Sánchez,8601,NaN
Atlas Shrugged II: The Strike,2012,PG-13,111 min,"Drama, Mystery, Sci-Fi",5.4,John Putch,6094,$3.33M
Boy Culture,2006,Unrated,88 min,"Drama, Romance",6.8,Q. Allan Brocka,5098,$0.22M
Please Give,2010,R,87 min,"Comedy, Drama",6.6,Nicole Holofcener,10450,$4.03M
Caramel,2007,PG,95 min,"Comedy, Drama, Romance",7.1,Nadine Labaki,11021,$1.06M
Into the Sun,2005,R,97 min,"Action, Adventure, Thriller",4.5,mink,6461,NaN
Madras Cafe,2013,Not Rated,130 min,"Action, Drama",7.7,Shoojit Sircar,19922,NaN
Laid to Rest,2009,R,90 min,"Horror, Thriller",5.3,Robert Hall,7058,NaN
Kokuhaku,2010,Not Rated,106 min,"Drama, Thriller",7.8,Tetsuya Nakashima,30839,NaN
A Merry Friggin' Christmas,2014,PG-13,88 min,Comedy,5.1,Tristram Shapeero,5027,NaN
Once There Was a Tiger,2012,Not Rated,132 min,"Action, Romance, Thriller",5.5,Kabir Khan,25256,$2.35M
The Zodiac,2005,R,92 min,"Crime, Drama, Horror",5.4,Alexander Bulkley,6620,$0.04M
Jolly LLB 2,2017,NaN,137 min,"Comedy, Drama",7.3,Subhash Kapoor,17170,$1.63M
Fragments,2008,R,100 min,"Crime, Drama",5.7,Rowan Woods,6572,NaN
Howl,2010,R,84 min,"Biography, Drama, Romance",6.8,Rob Epstein,11866,$0.62M
Boot Camp,2008,Not Rated,99 min,"Crime, Drama, Thriller",5.9,Christian Duguay,7967,NaN
While She Was Out,2008,R,86 min,"Crime, Drama, Horror",4.8,Susan Montford,5854,NaN
Wir sind die Nacht,2010,Not Rated,99 min,"Drama, Fantasy, Horror",6.3,Dennis Gansel,7077,NaN
Elles,2011,Unrated,99 min,Drama,5.7,Malgorzata Szumowska,5618,$0.16M
Enas allos kosmos,2015,NaN,113 min,"Drama, Romance",7.5,Christopher Papakaliatis,6538,NaN
Wild Bill,2011,Not Rated,98 min,Drama,7.2,Dexter Fletcher,11124,NaN
The Killing Room,2009,R,93 min,"Mystery, Thriller",5.7,Jonathan Liebesman,12615,NaN
.45,2006,R,101 min,"Crime, Drama, Thriller",5.7,Gary Lennon,7672,NaN
The Escapist,2008,Not Rated,102 min,"Crime, Drama, Thriller",6.8,Rupert Wyatt,15591,$0.01M
Black,2005,Not Rated,122 min,Drama,8.2,Sanjay Leela Bhansali,29679,$0.73M
Train,2008,R,94 min,"Horror, Thriller",4.8,Gideon Raff,5263,NaN
Sarkar,2005,Not Rated,124 min,"Crime, Drama",7.7,Ram Gopal Varma,13614,NaN
A Late Quartet,2012,R,105 min,"Drama, Music",7.1,Yaron Zilberman,12592,$1.56M
La horde,2009,Not Rated,90 min,"Action, Horror",5.9,Yannick Dahan,14210,NaN
La délicatesse,2011,PG-13,108 min,"Comedy, Drama, Romance",6.6,David Foenkinos,11524,NaN
Kkeut-kka-ji-gan-da,2014,Not Rated,111 min,"Action, Crime, Thriller",7.2,Seong-hun Kim,7449,NaN
Perrier's Bounty,2009,R,88 min,"Action, Comedy, Crime",6.4,Ian Fitzgibbon,5819,$0.00M
Casse-tête chinois,2013,R,117 min,"Comedy, Drama, Romance",7,Cédric Klapisch,11816,$0.34M
Third Star,2010,Not Rated,92 min,Drama,7.6,Hattie Dalton,6117,NaN
The Secret of the Grain,2007,Not Rated,151 min,Drama,7.4,Abdellatif Kechiche,6112,$0.09M
The Beat That My Heart Skipped,2005,Not Rated,108 min,"Crime, Drama, Music",7.3,Jacques Audiard,17173,$1.02M
Battle in Seattle,2007,R,98 min,"Action, Drama",6.7,Stuart Townsend,13563,$0.22M
Time to Leave,2005,Unrated,81 min,Drama,7.1,François Ozon,7897,$0.12M
Looking for Eric,2009,Not Rated,116 min,"Comedy, Drama, Fantasy",7.2,Ken Loach,14427,$0.06M
Wazir,2016,NaN,103 min,"Action, Crime, Drama",7.1,Bejoy Nambiar,14902,$0.59M
Pusher III,2005,Not Rated,90 min,"Crime, Drama, Thriller",7.3,Nicolas Winding Refn,11698,NaN
Tekkonkinkreet,2006,R,111 min,"Animation, Action, Adventure",7.7,Michael Arias,10965,NaN
Adulthood,2008,NaN,99 min,"Crime, Drama",6.7,Noel Clarke,10944,NaN
The Alphabet Killer,2008,R,98 min,"Crime, Horror, Mystery",5.2,Rob Schmidt,7322,$0.03M
Miss Bala,2011,R,113 min,"Crime, Drama, Thriller",6.5,Gerardo Naranjo,7526,NaN
Mumbai Diaries,2010,TV-14,100 min,Drama,7.1,Kiran Rao,11191,$0.58M
Little Fish,2005,R,114 min,"Crime, Drama, Romance",6.3,Rowan Woods,7807,$0.01M
Barbara,2012,PG-13,105 min,Drama,7.2,Christian Petzold,10809,NaN
La fille inconnue,2016,Unrated,113 min,"Crime, Drama, Mystery",6.5,Jean-Pierre Dardenne,5456,$0.15M
English Vinglish,2012,Not Rated,134 min,"Comedy, Drama, Family",7.9,Gauri Shinde,28641,$1.67M
Yves Saint Laurent,2014,R,106 min,"Biography, Drama",6.2,Jalil Lespert,9823,$0.72M
Red Hill,2010,R,95 min,"Thriller, Western",6.4,Patrick Hughes,7726,$0.02M
Don,2006,Not Rated,171 min,"Action, Crime, Thriller",7.2,Farhan Akhtar,30449,$0.80M
Mozart and the Whale,2005,PG-13,94 min,"Comedy, Drama, Romance",6.9,Petter Næss,8109,$0.04M
Badlapur,2015,NaN,134 min,"Action, Crime, Drama",7.5,Sriram Raghavan,17762,$0.37M
XXY,2007,Not Rated,86 min,"Drama, Romance",7.1,Lucía Puenzo,11753,$0.05M
Man About Town,2006,R,96 min,"Comedy, Drama",5.6,Mike Binder,7032,NaN
Pawn,2013,R,88 min,"Action, Crime, Mystery",5.7,David A. Armstrong,6394,$0.00M
Reclaim,2014,R,96 min,"Action, Adventure, Crime",5.1,Alan White,5185,$0.00M
The Nativity Story,2006,PG,101 min,"Drama, Family, History",6.8,Catherine Hardwicke,8994,$37.63M
La cage dorée,2013,G,90 min,"Comedy, Drama",7.3,Ruben Alves,8837,NaN
Sakasama no Patema,2013,Not Rated,98 min,"Animation, Adventure, Drama",7.4,Yasuhiro Yoshiura,5716,NaN
The Returned,2013,NaN,98 min,"Crime, Drama, Sci-Fi",5.9,Manuel Carballo,7537,NaN
Gabbar is Back,2015,Not Rated,128 min,"Action, Drama",7.2,Radha Krishna Jagarlamudi,20262,NaN
Beyond the Hills,2012,Not Rated,152 min,Drama,7.6,Cristian Mungiu,10256,$0.11M
TiMER,2009,R,99 min,"Comedy, Drama, Fantasy",6.5,Jac Schaeffer,11527,NaN
Ong-bak 3,2010,R,99 min,Action,5,Tony Jaa,11722,$0.01M
Student of the Year,2012,Not Rated,146 min,"Comedy, Drama, Romance",5.5,Karan Johar,11749,$0.33M
Possession,2008,PG-13,85 min,"Drama, Horror, Mystery",5.6,Joel Bergvall,6636,NaN
Su Qi-er,2010,R,115 min,"Action, Drama, History",6.4,Woo-Ping Yuen,7929,$0.08M
The Boys Are Back,2009,PG-13,104 min,Drama,6.9,Scott Hicks,9449,$0.81M
The Connection,2014,R,135 min,"Action, Crime, Thriller",7.1,Cédric Jimenez,8518,NaN
New Kids Turbo,2010,NaN,84 min,"Action, Comedy",6.4,Steffen Haars,13351,NaN
Smosh: The Movie,2015,PG-13,84 min,"Comedy, Fantasy, Sci-Fi",3.5,Alex Winter,5322,NaN
Lola Versus,2012,R,87 min,Comedy,5.5,Daryl Wein,7809,$0.25M
Chillar Party,2011,NaN,135 min,"Comedy, Drama, Family",7.5,Vikas Bahl,5175,$0.01M
Shanghai,2010,R,105 min,"Drama, Mystery, Romance",6.4,Mikael Håfström,8429,$0.04M
Neuk-dae-so-nyeon,2012,Not Rated,122 min,"Fantasy, Romance",7.4,Sung-hee Jo,5161,$0.34M
The Ice Harvest,2005,R,92 min,"Comedy, Crime, Drama",6.3,Harold Ramis,21893,$8.82M
Love,2011,Not Rated,84 min,"Drama, Music, Sci-Fi",5.6,William Eubank,8099,NaN
Enthiran,2010,Not Rated,174 min,"Action, Sci-Fi",7.1,S. Shankar,21474,$4.37M
The Other End of the Line,2008,PG-13,106 min,"Comedy, Drama, Romance",6.2,James Dodson,5335,$0.12M
Goodbye World,2013,Not Rated,99 min,"Comedy, Drama",5.5,Denis Henry Hennelly,5993,NaN
Tiny Furniture,2010,Not Rated,98 min,"Comedy, Drama, Romance",6.2,Lena Dunham,13095,$0.39M
Hell,2011,R,89 min,"Horror, Sci-Fi, Thriller",5.9,Tim Fehlbaum,11059,NaN
Beta Test,2016,Not Rated,88 min,"Action, Sci-Fi, Thriller",5.9,Nicholas Gyeney,11092,$0.01M
High Lane,2009,Not Rated,90 min,"Adventure, Horror, Thriller",5.6,Abel Ferry,6609,NaN
A Coffee in Berlin,2012,Not Rated,86 min,"Comedy, Drama",7.4,Jan Ole Gerster,12995,$0.15M
Dark Ride,2006,R,94 min,"Horror, Thriller",4.6,Craig Singer,5555,NaN
Av Mevsimi,2010,NaN,140 min,"Crime, Drama, Mystery",7.5,Yavuz Turgul,25318,NaN
The Yellow Handkerchief,2008,PG-13,102 min,"Drama, Romance",6.8,Udayan Prasad,7383,$0.32M
Kenny,2006,PG-13,99 min,Comedy,7.3,Clayton Jacobson,5975,NaN
The Brothers Solomon,2007,R,93 min,Comedy,5.3,Bob Odenkirk,10034,$0.90M
I Melt with You,2011,R,129 min,Drama,6,Mark Pellington,5473,$0.00M
The Good Night,2007,R,93 min,"Comedy, Drama, Fantasy",5.8,Jake Paltrow,7903,$0.02M
Don't Come Knocking,2005,R,122 min,"Drama, Music",6.7,Wim Wenders,6831,$0.44M
What's in a Name?,2012,PG,109 min,"Comedy, Drama",7.3,Alexandre de La Patellière,12935,NaN
Dev.D,2009,Not Rated,144 min,"Comedy, Drama, Romance",8.1,Anurag Kashyap,24783,$0.01M
December Boys,2007,PG-13,105 min,"Drama, Romance",6.6,Rod Hardy,11147,$0.05M
Tees Maar Khan,2010,Not Rated,135 min,"Comedy, Crime",2.5,Farah Khan,9709,$1.08M
Mine vaganti,2010,Not Rated,110 min,"Comedy, Drama, Romance",7.3,Ferzan Ozpetek,9991,NaN
Detective Jagga,2017,NaN,161 min,"Action, Adventure, Comedy",6.4,Anurag Basu,7093,$0.49M
Capable,2017,TV-MA,139 min,"Action, Drama, Thriller",7.1,Sanjay Gupta,21306,NaN
El Club,2015,Not Rated,98 min,"Comedy, Drama, Mystery",7.2,Pablo Larraín,7589,$0.03M
Destroyed in Love,2006,Not Rated,168 min,"Crime, Drama, Romance",7.2,Kunal Kohli,27474,$2.10M
Timbuktu,2014,PG-13,97 min,Drama,7.2,Abderrahmane Sissako,13985,$1.08M
La Rafle,2010,Not Rated,115 min,"Drama, History, War",7,Rose Bosch,7408,NaN
Blonde Ambition,2007,PG-13,93 min,"Comedy, Romance",3.9,Scott Marshall,5318,$0.01M
United,2011,PG-13,94 min,"Drama, History, Sport",7.5,James Strong,9615,NaN
The Foot Fist Way,2006,R,85 min,Comedy,6.4,Jody Hill,10317,$0.23M
I Hate Love Stories,2010,Not Rated,129 min,"Comedy, Drama, Romance",5.6,Punit Malhotra,6650,$0.85M
Gray Matters,2006,PG-13,96 min,"Comedy, Romance",5.8,Sue Kramer,6410,$0.06M
Center Stage: Turn It Up,2008,PG-13,95 min,"Drama, Music, Romance",6.2,Steven Jacobson,5463,NaN
Factotum,2005,R,94 min,"Comedy, Drama, Romance",6.6,Bent Hamer,12899,$0.81M
Shi,2010,Unrated,139 min,Drama,7.8,Chang-dong Lee,8004,$0.36M
Udaan,2010,Not Rated,134 min,Drama,8.2,Vikramaditya Motwane,37323,$0.01M
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,PG-13,105 min,"Animation, Action, Adventure",7.5,Seiji Mizushima,9111,NaN
Mr. Nice,2010,NaN,121 min,"Biography, Comedy, Crime",6.4,Bernard Rose,6515,NaN
The Caller,2011,R,92 min,Thriller,6.1,Matthew Parkhill,9726,NaN
Cherrybomb,2009,Not Rated,86 min,"Drama, Thriller",6,Lisa Barros D'Sa,6617,NaN
Sarmasik,2015,Not Rated,104 min,"Drama, Fantasy, Thriller",8,Tolga Karaçelik,5233,NaN
My Name Is Bruce,2007,R,84 min,"Comedy, Fantasy, Horror",6.3,Bruce Campbell,22592,$0.17M
The Class,2008,PG-13,128 min,Drama,7.5,Laurent Cantet,31665,$3.77M
Branded,2012,R,106 min,"Drama, Fantasy, Thriller",4.7,Jamie Bradshaw,8344,$0.35M
Konferenz der Tiere,2010,PG,93 min,"Animation, Adventure, Comedy",4.9,Reinhard Klooss,5112,NaN
Kickin' It Old Skool,2007,PG-13,108 min,Comedy,4.6,Harvey Glazer,6460,$4.50M
The Life Before Her Eyes,2007,R,90 min,"Drama, Fantasy, Mystery",6.4,Vadim Perelman,12885,$0.30M
Good,2008,R,92 min,"Drama, Romance, War",6.2,Vicente Amorim,6268,$0.02M
Thani Oruvan,2015,Not Rated,160 min,"Action, Crime, Thriller",8.5,Mohan Raja,12139,NaN
Phoebe in Wonderland,2008,PG-13,96 min,Drama,7.2,Daniel Barnz,7096,$0.07M
Lies & Alibis,2006,R,90 min,"Comedy, Drama, Romance",6.4,Matt Checkowski,5577,NaN
Hak se wui,2005,Unrated,100 min,"Crime, Drama, Thriller",7.1,Johnnie To,8371,NaN
In Fear,2013,R,85 min,"Horror, Mystery, Thriller",5.5,Jeremy Lovering,7545,NaN
The Dead,2010,R,105 min,Horror,5.8,Howard J. Ford,8183,NaN
Resurrecting the Champ,2007,PG-13,112 min,"Drama, Sport",6.7,Rod Lurie,19346,$3.17M
Wilderness,2006,R,93 min,Horror,6.2,M.J. Bassett,8394,NaN
Sinners and Saints,2010,R,104 min,"Action, Crime, Thriller",6.2,William Kaufman,5025,NaN
Love Is Strange,2014,R,94 min,"Drama, Romance",6.7,Ira Sachs,11166,$2.25M
The Countess,2009,Not Rated,98 min,"Biography, Drama, History",6.3,Julie Delpy,7049,NaN
Recep Ivedik,2008,NaN,90 min,Comedy,4.7,Togan Gökbakar,21138,NaN
Omkara,2006,NaN,155 min,"Action, Crime, Drama",8.1,Vishal Bhardwaj,16247,$0.79M
On-Bak 2,2008,R,98 min,Action,6.2,Tony Jaa,27044,$0.10M
Evangerion shin gekijôban: Jo,2007,PG-13,98 min,"Animation, Action, Drama",7.8,Masayuki,14821,$0.11M
Singh Is King,2008,Not Rated,135 min,"Action, Comedy, Crime",5.8,Anees Bazmee,12417,NaN
Sweet Bean,2015,Not Rated,113 min,Drama,7.4,Naomi Kawase,6307,$0.12M
Silent Light,2007,Not Rated,136 min,"Drama, Romance",7.3,Carlos Reygadas,5114,$0.05M
Grand Masti,2013,Not Rated,137 min,"Comedy, Drama, Romance",4.3,Indra Kumar,5136,$0.36M
To Save a Life,2009,PG-13,120 min,Drama,7.1,Brian Baugh,5091,$3.77M
Hamlet 2,2008,R,92 min,"Comedy, Music",6.4,Andrew Fleming,15976,$4.88M
Mystery Team,2009,R,97 min,"Comedy, Crime, Mystery",6.8,Dan Eckman,8240,$0.08M
Dou fo sin,2007,R,88 min,"Action, Crime, Thriller",6.8,Wilson Yip,11488,$0.00M
Pariah,2011,R,86 min,Drama,7.2,Dee Rees,5234,$0.76M
Big Bad Wolves,2013,Not Rated,110 min,"Comedy, Thriller",6.8,Aharon Keshales,13822,$0.03M
Et maintenant on va où?,2011,PG-13,110 min,"Comedy, Drama",7.5,Nadine Labaki,9535,$0.53M
Redline,2007,PG-13,95 min,Action,4,Andy Cheng,8268,$6.88M
You Kill Me,2007,R,93 min,"Comedy, Crime, Romance",6.5,John Dahl,16960,$2.43M
Waar,2013,NaN,130 min,"Action, Crime, Thriller",8.2,Bilal Lashari,28707,NaN
Fashion,2008,NaN,167 min,Drama,7,Madhur Bhandarkar,10567,$0.19M
Redacted,2007,R,90 min,"Crime, Thriller, War",6.1,Brian De Palma,9486,$0.07M
The Flock,2007,R,96 min,"Crime, Drama, Mystery",5.7,Wai-Keung Lau,10409,NaN
Cocktail,2012,Not Rated,146 min,"Comedy, Drama, Romance",6.2,Homi Adajania,11669,$1.03M
Bikur Ha-Tizmoret,2007,PG-13,87 min,"Comedy, Drama, Music",7.6,Eran Kolirin,11909,$3.05M
Small Apartments,2012,R,96 min,"Comedy, Crime, Drama",6.1,Jonas Åkerlund,6420,NaN
Rare Exports,2010,R,84 min,"Adventure, Fantasy, Horror",6.7,Jalmari Helander,22797,$0.26M
Les poupées russes,2005,Not Rated,125 min,"Comedy, Drama, Romance",7,Cédric Klapisch,18005,$0.32M
Like Someone in Love,2012,Not Rated,109 min,Drama,7,Abbas Kiarostami,8680,$0.22M
Hrútar,2015,R,93 min,Drama,7.3,Grímur Hákonarson,10025,$0.14M
A Villain,2014,Not Rated,129 min,"Action, Crime, Drama",6.5,Mohit Suri,13878,$0.41M
Exists,2014,R,81 min,"Action, Adventure, Horror",5.2,Eduardo Sánchez,6981,NaN
Yi ge ren de wu lin,2014,Not Rated,100 min,"Action, Drama",6.5,Teddy Chan,8281,$0.13M
Oorlogswinter,2008,R,103 min,"Drama, History, War",7,Martin Koolhoven,11267,$0.54M
San suk si gin,2009,R,119 min,"Action, Crime, Drama",7.1,Tung-Shing Yee,10272,NaN
Hanyo,2010,Not Rated,106 min,"Drama, Thriller",6.5,Sang-soo Im,7922,$0.15M
Little Nicholas,2009,NaN,91 min,"Comedy, Family",7.2,Laurent Tirard,10784,NaN
Paan Singh Tomar,2012,Not Rated,135 min,"Action, Biography, Crime",8.2,Tigmanshu Dhulia,28012,$0.04M
Big Ass Spider!,2013,PG-13,80 min,"Action, Comedy, Sci-Fi",5.3,Mike Mendez,6237,NaN
Copying Beethoven,2006,PG-13,104 min,"Biography, Drama, Music",6.8,Agnieszka Holland,12039,$0.35M
Snow Angels,2007,R,107 min,"Drama, Romance",6.9,David Gordon Green,11612,$0.40M
Days of Glory,2006,R,120 min,"Drama, War",7.1,Rachid Bouchareb,13034,$0.32M
Jimmy's Hall,2014,PG-13,109 min,"Biography, Drama, History",6.7,Ken Loach,5039,$0.56M
Point Blank,2010,R,81 min,"Action, Crime, Drama",6.8,Fred Cavayé,12422,$0.71M
Then She Found Me,2007,R,100 min,"Comedy, Drama, Romance",6,Helen Hunt,9142,$3.74M
"Welcome Home, Roscoe Jenkins",2008,PG-13,114 min,"Comedy, Romance",5.4,Malcolm D. Lee,12199,$42.44M
Heropanti,2014,Not Rated,146 min,"Action, Romance",5.3,Sabir Khan,7008,$0.06M
A Madea Christmas,2013,PG-13,100 min,"Comedy, Drama",4.9,Tyler Perry,5170,$52.44M
Let's Kill Ward's Wife,2014,Unrated,82 min,"Comedy, Crime",5.4,Scott Foley,5019,NaN
Listen Up Philip,2014,Not Rated,108 min,"Comedy, Drama",6.3,Alex Ross Perry,5533,$0.14M
Code Name: K.O.Z.,2015,Not Rated,114 min,"Crime, Mystery",1.6,Celal Çimen,26507,NaN
Snow White,2012,PG-13,104 min,"Drama, Fantasy",7.6,Pablo Berger,9285,$0.28M
Rebelle,2012,Not Rated,90 min,"Drama, War",7.1,Kim Nguyen,6503,$0.07M
Das letzte Schweigen,2010,Not Rated,118 min,"Crime, Drama, Thriller",7,Baran bo Odar,5417,$0.10M
Brake,2012,R,92 min,Thriller,6.1,Gabe Torres,10788,$0.00M
Hannah Arendt,2012,Not Rated,113 min,"Biography, Drama",7.1,Margarethe von Trotta,8925,$0.71M
Boychoir,2014,NaN,103 min,"Drama, Music",6.7,François Girard,5230,NaN
Bande de filles,2014,Unrated,113 min,Drama,6.9,Céline Sciamma,6133,NaN
The Square,2008,R,105 min,"Crime, Drama, Thriller",6.8,Nash Edgerton,5025,$0.05M
Direktøren for det hele,2006,Not Rated,99 min,Comedy,6.7,Lars von Trier,9906,$0.05M
Wrong Cops,2013,Not Rated,83 min,"Comedy, Crime",6,Quentin Dupieux,5997,NaN
Make It Happen,2008,PG-13,90 min,Drama,5.5,Darren Grant,5639,NaN
A Summer in Genoa,2008,R,93 min,"Drama, Mystery, Romance",6.1,Michael Winterbottom,5852,NaN
Stuck,2007,R,85 min,"Biography, Crime, Drama",6.5,Stuart Gordon,8652,$0.07M
The Oh in Ohio,2006,R,88 min,"Comedy, Drama, Romance",5.6,Billy Kent,5749,$0.42M
9th Company,2005,R,139 min,"Action, Drama, History",7.1,Fedor Bondarchuk,18078,NaN
Le Havre,2011,Not Rated,93 min,"Comedy, Drama",7.2,Aki Kaurismäki,17807,$0.61M
October Baby,2011,PG-13,107 min,Drama,6.8,Andrew Erwin,6739,$5.36M
Ye yan,2006,Not Rated,131 min,"Action, Drama, Fantasy",6.5,Xiaogang Feng,6211,NaN
"Na xie nian, wo men yi qi zhui de nv hai",2011,NaN,109 min,"Comedy, Drama, Romance",7.7,Giddens Ko,7722,NaN
Un plan parfait,2012,NaN,104 min,"Adventure, Comedy, Romance",6.3,Pascal Chaumeil,6866,NaN
"1,000 Times Good Night",2013,Not Rated,117 min,"Drama, War",7.1,Erik Poppe,6548,$0.05M
The Astronaut Farmer,2006,PG,104 min,"Adventure, Drama, Sci-Fi",6.3,Michael Polish,21062,$11.00M
Golmaal Again,2017,Not Rated,140 min,"Action, Comedy, Fantasy",5,Rohit Shetty,6481,$1.01M
The Thief Lord,2006,PG,98 min,"Adventure, Drama, Family",6,Richard Claus,5421,NaN
Miss Violence,2013,NaN,98 min,Drama,7.1,Alexandros Avranas,5376,NaN
Brothers,2015,Not Rated,156 min,"Action, Drama, Sport",6.7,Karan Malhotra,10297,$0.27M
The Good Guy,2009,R,90 min,"Comedy, Romance",5.9,Julio DePietro,8563,$0.10M
The Kid with a Bike,2011,PG-13,87 min,Drama,7.4,Jean-Pierre Dardenne,23898,$1.38M
Dhuruvangal Pathinaaru,2016,Not Rated,105 min,"Action, Crime, Mystery",8.5,Karthick Naren,7017,NaN
Aashiqui 2,2013,Not Rated,132 min,"Drama, Music, Musical",7,Mohit Suri,23661,NaN
The Battery,2012,Not Rated,101 min,"Adventure, Drama, Horror",6.4,Jeremy Gardner,7196,NaN
Nativity!,2009,PG,105 min,"Comedy, Family",6.5,Debbie Isitt,5685,NaN
Il divo - La spettacolare vita di Giulio Andreotti,2008,Not Rated,110 min,"Biography, Drama",7.3,Paolo Sorrentino,13754,$0.24M
Beyond the Gates,2005,R,115 min,"Drama, History, War",7.7,Michael Caton-Jones,10382,NaN
Killing Bono,2011,R,114 min,"Comedy, Music",6.4,Nick Hamm,5590,NaN
Bang Bang,2014,NaN,153 min,"Action, Adventure, Comedy",5.5,Siddharth Anand,19084,$2.55M
Le concert,2009,PG-13,119 min,"Comedy, Drama, Music",7.6,Radu Mihaileanu,16245,$0.66M
Until Death,2007,R,101 min,"Action, Crime, Drama",6,Simon Fellows,8616,NaN
Silent Night,2012,R,94 min,"Comedy, Horror, Mystery",5.2,Steven C. Miller,6468,$0.01M
Medianeras,2011,Not Rated,95 min,"Comedy, Drama",7.5,Gustavo Taretto,12281,$0.00M
Du zhan,2012,R,107 min,"Action, Crime, Drama",7,Johnnie To,8189,$0.13M
Infestation,2009,R,91 min,"Action, Comedy, Horror",5.9,Kyle Rankin,8302,NaN
Hypnotisören,2012,NaN,122 min,"Crime, Drama, Thriller",5.6,Lasse Hallström,6767,NaN
Faults,2014,Not Rated,89 min,"Comedy, Crime, Drama",6.7,Riley Stearns,6569,NaN
Sleepwalking,2008,R,101 min,Drama,6.2,Bill Maher,5260,$0.17M
De behandeling,2014,Not Rated,131 min,"Mystery, Thriller",7.2,Hans Herbots,6766,NaN
Eva,2011,PG-13,94 min,"Drama, Fantasy, Sci-Fi",6.7,Kike Maíllo,8647,$0.01M
Soldiers of Fortune,2012,R,94 min,"Action, Thriller",4.3,Maxim Korostyshevsky,6653,$0.04M
Timber Falls,2007,R,100 min,"Horror, Thriller",5.3,Tony Giglio,5381,$0.05M
Cass,2008,NaN,108 min,"Biography, Crime, Drama",6.5,Jon S. Baird,5250,NaN
Space Chimps,2008,G,81 min,"Animation, Adventure, Comedy",4.5,Kirk DeMicco,9755,$30.11M
Bambi II,2006,G,75 min,"Animation, Drama, Family",6.2,Brian Pimental,7813,NaN
American Dreamz,2006,PG-13,107 min,"Comedy, Music",5.5,Paul Weitz,23472,$7.19M
Jesus Henry Christ,2011,PG-13,92 min,Comedy,6.4,Dennis Lee,5611,$0.02M
2 Days in New York,2012,R,96 min,"Comedy, Drama, Romance",6,Julie Delpy,13060,$0.63M
Hunt to Kill,2010,R,98 min,"Action, Thriller",5.2,Keoni Waxman,5726,NaN
The Return,2006,PG-13,85 min,"Horror, Mystery, Thriller",4.8,Asif Kapadia,10928,$7.75M
Blackthorn,2011,R,102 min,"Action, Adventure, Western",6.6,Mateo Gil,8295,$0.20M
Capsule,2015,TV-14,91 min,"Drama, History, Sci-Fi",6.3,Andrew Martin,7433,NaN
The Heir Apparent: Largo Winch,2008,Not Rated,108 min,"Action, Adventure, Thriller",6.5,Jérôme Salle,12330,$0.01M
The Liability,2012,R,82 min,"Comedy, Crime, Thriller",5.9,Craig Viveiros,6900,NaN
99 francs,2007,PG-13,100 min,"Comedy, Drama",7.3,Jan Kounen,17161,NaN
Battle for Terra,2007,PG,85 min,"Animation, Action, Adventure",6.6,Aristomenis Tsirbas,10644,$1.65M
The Ghazi Attack,2017,Not Rated,116 min,"Action, History, Thriller",7.7,Sankalp Reddy,8553,NaN
The Music Never Stopped,2011,PG,105 min,Drama,7.6,Jim Kohlberg,6962,$0.26M
Columbus Circle,2012,PG-13,82 min,"Crime, Drama, Mystery",6,George Gallo,9668,NaN
The Last Winter,2006,Not Rated,101 min,"Horror, Mystery, Thriller",5.6,Larry Fessenden,7963,$0.03M
Les femmes de l'ombre,2008,TV-MA,117 min,"Drama, War",6.8,Jean-Paul Salomé,6329,NaN
Milyang,2007,Not Rated,142 min,Drama,7.5,Chang-dong Lee,5046,NaN
Husk,2011,R,83 min,"Horror, Thriller",5.2,Brett Simmons,8753,NaN
Theeb,2014,Not Rated,100 min,"Adventure, Drama, Thriller",7.2,Naji Abu Nowar,8418,$0.28M
The Burrowers,2008,R,96 min,"Horror, Thriller, Western",5.8,J.T. Petty,6724,NaN
Evangerion shin gekijôban: Kyu,2012,TV-14,96 min,"Animation, Action, Drama",7,Mahiro Maeda,7584,$0.17M
Taxidermia,2006,Not Rated,91 min,"Comedy, Drama, Horror",7,György Pálfi,14787,$0.01M
Populaire,2012,R,111 min,"Comedy, Romance, Sport",6.9,Régis Roinsard,10335,$0.18M
Katyn,2007,Not Rated,121 min,"Drama, History, War",7.1,Andrzej Wajda,13873,$0.12M
